gX,gY,gZ,aX,aY,aZ
-44.860840,-18.127441,6.042480,0.960938,-0.317017,-0.127075
-44.860840,-18.127441,6.042480,0.960938,-0.317017,-0.127075
-44.860840,-18.127441,6.042480,0.960938,-0.317017,-0.127075
-42.236328,-18.066406,5.859375,0.963013,-0.321899,-0.147949
-42.236328,-18.066406,5.859375,0.963013,-0.321899,-0.147949
-39.672852,-17.944336,5.676270,0.963989,-0.315063,-0.158936
-39.672852,-17.944336,5.676270,0.963989,-0.315063,-0.158936
-39.672852,-17.944336,5.676270,0.963867,-0.300049,-0.163330
-37.475586,-17.761230,5.554199,0.963867,-0.300049,-0.163330
-37.475586,-17.761230,5.554199,0.963867,-0.300049,-0.163330
-36.315918,-17.517090,5.432129,0.963989,-0.281006,-0.164429
-36.315918,-17.517090,5.432129,0.963989,-0.281006,-0.164429
-36.560059,-17.272949,5.249023,0.963745,-0.262207,-0.165039
-36.560059,-17.272949,5.249023,0.963745,-0.262207,-0.165039
-36.560059,-17.272949,5.249023,0.963745,-0.262207,-0.165039
-38.696289,-17.028809,4.821777,0.961426,-0.238647,-0.163086
-38.696289,-17.028809,4.821777,0.961426,-0.238647,-0.163086
-42.968750,-16.784668,4.394531,0.959106,-0.210449,-0.151367
-42.968750,-16.784668,4.394531,0.959106,-0.210449,-0.151367
-48.400879,-16.723633,3.906250,0.955933,-0.183594,-0.131226
-48.400879,-16.723633,3.906250,0.955933,-0.183594,-0.131226
-48.400879,-16.723633,3.906250,0.955933,-0.183594,-0.131226
-53.894043,-16.784668,3.540039,0.951782,-0.161865,-0.115112
-53.894043,-16.784668,3.540039,0.951782,-0.161865,-0.115112
-58.166504,-17.028809,3.417969,0.951050,-0.159180,-0.114990
-58.166504,-17.028809,3.417969,0.951050,-0.159180,-0.114990
-58.166504,-17.028809,3.417969,0.953003,-0.183350,-0.135742
-59.997559,-17.272949,3.540039,0.953003,-0.183350,-0.135742
-59.997559,-17.272949,3.540039,0.953003,-0.183350,-0.135742
-58.776855,-17.456055,3.845215,0.957886,-0.229736,-0.177979
-58.776855,-17.456055,3.845215,0.957886,-0.229736,-0.177979
-54.443359,-17.333984,4.150391,0.966919,-0.291382,-0.240845
-54.443359,-17.333984,4.150391,0.966919,-0.291382,-0.240845
-54.443359,-17.333984,4.150391,0.966919,-0.291382,-0.240845
-47.729492,-16.845703,4.516602,0.972900,-0.350342,-0.308350
-47.729492,-16.845703,4.516602,0.972900,-0.350342,-0.308350
-39.428711,-15.991211,4.760742,0.979370,-0.388672,-0.356812
-39.428711,-15.991211,4.760742,0.979370,-0.388672,-0.356812
-30.273438,-15.014648,4.943848,0.990234,-0.410034,-0.373291
-30.273438,-15.014648,4.943848,0.990234,-0.410034,-0.373291
-30.273438,-15.014648,4.943848,0.990234,-0.410034,-0.373291
-21.362305,-14.099121,5.004883,1.006836,-0.419312,-0.341187
-21.362305,-14.099121,5.004883,1.006836,-0.419312,-0.341187
-14.526367,-13.427734,4.455566,1.052856,-0.406738,-0.248047
-14.526367,-13.427734,4.455566,1.052856,-0.406738,-0.248047
-14.526367,-13.427734,4.455566,1.133545,-0.364990,-0.130371
-13.061523,-12.329102,2.441406,1.133545,-0.364990,-0.130371
-13.061523,-12.329102,2.441406,1.133545,-0.364990,-0.130371
-18.188477,-10.803223,-1.037598,1.205811,-0.312866,-0.054199
-18.188477,-10.803223,-1.037598,1.205811,-0.312866,-0.054199
-29.479980,-8.544922,-5.859375,1.250732,-0.279907,-0.047852
-29.479980,-8.544922,-5.859375,1.250732,-0.279907,-0.047852
-29.479980,-8.544922,-5.859375,1.250732,-0.279907,-0.047852
